# Source: Top1000 News & Media Platforms Worldwide
# Refresh URL: https://top1000.com/top-1000-news-and-media-platforms/
# Format: domain<TAB>platform name
msn.com	MSN
globo.com	Globo
nytimes.com	New York Times
bbc.co.uk	BBC
bbc.com	BBC
cnn.com	CNN
news.google.com	Google News
wp.pl	Wirtualna Polska
uol.com.br	UOL
indiatimes.com	Indiatimes
onet.pl	Onet
theguardian.com	Guardian
foxnews.com	Fox News
infobae.com	Infobae
hindustantimes.com	Hindustan Times
t-online.de	T-Online
bild.de	Bild
people.com	People
vnexpress.net	VnExpress
detik.com	detikcom
corriere.it	Corriere
nypost.com	New York Post
news18.com	News18
ndtv.com	NDTV
indianexpress.com	Indian Express
usatoday.com	USA TODAY
elmundo.es	ELMUNDO
news.mail.ru	Mail News
rbc.ru	RBC
n-tv.de	N-TV
repubblica.it	la Repubblica
nikkei.com	Nikkei
elpais.com	El País
newsweek.com	Newsweek
donga.com	Donga
cnbc.com	CNBC
yomiuri.co.jp	Yomiuri Online
novinky.cz	Novinky
hurriyet.com.tr	Hurriyet
lenta.ru	Lenta
lefigaro.fr	Le Figaro
sozcu.com.tr	Sozcu
cnnbrasil.com.br	CNN Brasil
nu.nl	Nu
vg.no	VG
lanacion.com.ar	LA NACION
ouest-france.fr	Ouest-France
apnews.com	AP News
terra.com.br	Terra
asahi.com	Asahi Shimbun
sohu.com	Sohu
ria.ru	RIA Novosti
iltalehti.fi	Iltalehti
washingtonpost.com	Washington Post
forbes.com	Forbes
buzzfeed.com	BuzzFeed
wsj.com	WSJ
lemonde.fr	Le Monde
rediff.com	Rediff
metropoles.com	Metropoles
telegraph.co.uk	Telegraph
toutiao.com	Toutiao
ad.nl	AD
independent.co.uk	The Independent
tagesschau.de	Tagesschau
nbcnews.com	NBC News
milliyet.com.tr	Milliyet
businessinsider.com	Business Insider
news.com.au	News
protothema.gr	Protothema
oneindia.com	Oneindia
cctv.com	CCTV
dantri.com.vn	Dân Trí
reuters.com	Reuters
sina.com.cn	Sina
abc.net.au	ABC
ynet.co.il	Ynet
kp.ru	Komsomolskaya Pravda
cbsnews.com	CBS News
hln.be	Hln
20minutos.es	20minutos
abplive.com	ABP News
welt.de	WELT
spiegel.de	Spiegel
ifeng.com	ifeng
india.com	India
drudgereport.com	Drudge Report
indiatoday.in	India Today
thesun.co.uk	The Sun
amarujala.com	Amar Ujala
clarin.com	Clarin
sponichi.co.jp	Sponichi
20minutes.fr	20 Minutes
24h.com.vn	24h
thehindu.com	The Hindu
kompas.com	Kompas
aftonbladet.se	Aftonbladet
ilfattoquotidiano.it	Il Fatto Quotidiano
elconfidencial.com	El Confidencial
rt.com	RT
jagran.com	Jagran
tuoitre.vn	TUOI TRE
elespanol.com	El Español
ansa.it	ANSA
okdiario.com	Okdiario
bunshun.jp	Bunshun Online
livemint.com	Mint
tribunnews.com	Tribunnews
politico.com	Politico
cbc.ca	CBC
sabah.com.tr	Sabah
udn.com	Udn
express.co.uk	Express
mainichi.jp	Mainichi Shimbun
idnes.cz	iDNES
abril.com.br	Abril
gazeta.ru	Gazeta
haberturk.com	Habertürk
mirror.co.uk	Mirror
merkur.de	Merkur
haberler.com	Haberler
prtimes.jp	PR TIMES
togetter.com	Togetter
gazeta.pl	Gazeta
news.sky.com	Sky News
focus.de	FOCUS
zeit.de	Zeit
diamond.jp	Diamond Online
vietnamnet.vn	VietNamNet News
eldiario.es	elDiario
ambito.com	Ambito
newsnow.co.uk	NewsNow
ilmessaggero.it	Il Messaggero
yle.fi	Yle
youm7.com	Youm7
ladepeche.fr	LaDepeche
nhk.jp	NHK
chosun.com	Chosun Ilbo
mk.ru	Московский Комсомолец
telegraaf.nl	Telegraaf
pravda.com.ua	Ukrainska Pravda
actu.fr	Actu
walla.co.il	Walla
huffpost.com	HuffPost
midilibre.fr	Midilibre
ettoday.net	ETtoday
vz.ru	Vzglyad
leparisien.fr	Le Parisien
lavanguardia.com	La Vanguardia
emol.com	Emol
cronista.com	El Cronista
larazon.es	La Razón
variety.com	Variety
e1.ru	E1
bloomberg.com	Bloomberg
lavozdegalicia.es	La Voz de Galicia
aljazeera.com	Al Jazeera
rainews.it	RaiNews
20min.ch	20 Minuten
tn.com.ar	Todo Noticias
ekstrabladet.dk	EkstraBladet
dagbladet.no	Dagbladet
delfi.lt	Delfi
cumhuriyet.com.tr	Cumhuriyet
kumparan.com	Kumparan
